"Ex-Date","Dividend ($/sh)"
"2025-04-03","0.92"
"2025-04-10","0.82"
"2025-04-17","0.85"
"2025-04-24","0.84"
"2025-05-01","0.94"
"2025-05-08","1.18"
"2025-05-15","1.06"
"2025-05-22","0.98"
"2025-05-29","0.95"
"2025-06-05","0.95"
"2025-06-12","0.95"
"2025-06-20","0.88"
"2025-06-26","0.92"
"2025-07-03","0.95"
"2025-07-10","0.96"
"2025-07-17","1.04"
"2025-07-24","1.03"
"2025-07-31","1.01"
"2025-08-07","1"
"2025-08-14","1.01"
"2025-08-21","1"
"2025-08-28","0.95"
"2025-09-04","0.9"
"2025-09-11","0.93"
"2025-09-18","0.93"
"2025-09-25","0.92"
"2025-10-02","0.91"
"2025-10-09","0.9"
"2025-10-15","0.91"
"2025-10-22","0.9"
"2025-10-29","0.85"
"2025-11-05","0.79"
"2025-11-12","0.63"
"2025-11-19","0.64"
"2025-11-26","0.59"
"2025-12-03","0.588"
"2025-12-10","0.546"
"2025-12-17","0.492"
"2025-12-24","0.571"
"2025-12-31","0.487"
"2026-01-07","0.471"
"2026-01-14","0.519"